,,Tackles,,,,,Def Int,,,,,Fumbles,,,
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Ndamukong Suh,52,33,85,20.5,12,1,0,0,0,,,,,
2,Phillip Dillard,45,38,83,10.5,3,1,9,9,0,,,,,
3,Larry Asante,42,37,79,0.5,0,2,74,37,1,,,,,
4,Jared Crick,31,42,73,12.5,9.5,,,,,4,,,,
5,Matt O'Hanlon,39,30,69,2,2,6,105,17.5,1,,,,,
6,Prince Amukamara,41,23,64,3,2,5,63,12.6,0,,,,,
7,Barry Turner,28,23,51,12,5.5,,,,,5,,,,1
8,Pierre Allen,18,32,50,8.5,5,,,,,5,,,,1
9,Dejon Gomes,26,20,46,3,0,4,45,11.3,0,,,,,
10,Eric Hagg,30,10,40,6.5,2,1,0,0,0,,,,,
11,Will Compton,17,23,40,0.5,0.5,,,,,2,,,,
12,Sean Fisher,10,25,35,2,1,,,,,,1,21,0,0
13,Alfonzo Dennard,20,10,30,3,0,,,,,,,,,
14,Cameron Meredith,13,8,21,4.5,1.5,,,,,1,1,4,0,0
15,Baker Steinkuhler,6,11,17,1,0,,,,,2,,,,
16,P.J. Smith,8,7,15,0,0,,,,,1,,,,
17,Eric Martin,8,7,15,0,0,,,,,,,,,
18,Rickey Thenarse,3,8,11,1,0,,,,,,,,,1
19,Anthony West,9,2,11,0,0,,,,,4,,,,
20,Blake Lawrence,6,4,10,0,0,,,,,,,,,
21,Mathew May,1,9,10,0,0,,,,,,,,,
22,Graham Stoddard,7,3,10,0,0,,,,,,,,,
23,Austin Cassidy,6,3,9,0,0,,,,,1,,,,
24,Lance Thorell,4,3,7,0,0,,,,,1,,,,
25,Mike Hays,2,3,5,0,0,,,,,,,,,
26,Colton Koehler,2,3,5,1,0,,,,,1,,,,
27,Jase Dean,3,1,4,0,0,,,,,,,,,1
28,Anthony Blue,4,0,4,0,0,,,,,,,,,
29,Niles Paul,4,0,4,0,0,,,,,,,,,
30,Thomas Grove,1,2,3,0,0,,,,,,,,,
31,Josh Williams,2,1,3,0,0,,,,,,,,,
32,Justin Blatchford,3,0,3,0,0,,,,,,,,,
33,Terrence Moore,1,1,2,0,0,,,,,,,,,
34,Faron Klingelhoefer,1,1,2,0,0,,,,,,,,,
35,Alex Henery,1,1,2,0,0,,,,,,,,,
36,Latravis Washington,1,1,2,1,0,,,,,,,,,
37,Courtney Osborne,1,0,1,0,0,,,,,,,,,
38,David Harvey,1,0,1,0,0,,,,,,,,,
39,Justin Jackson,0,1,1,0,0,,,,,,,,,
40,Rex Burkhead,1,0,1,0,0,,,,,,,,,
41,Wes Cammack,0,1,1,0,0,,,,,,,,,
42,Ryan Hill,1,0,1,0,0,,,,,,,,,
