,,Tackles,,,,,Def Int,,,,,Fumbles,,,
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Ndamukong Suh,39,37,76,16,7.5,2,79,39.5,2,,,,,
2,Larry Asante,44,23,67,1.5,1,1,0,0,0,,,,,
3,Matt O'Hanlon,33,19,52,2,0,1,21,21,0,,,,,
4,Pierre Allen,21,31,52,8.5,5,,,,,1,,,,1
5,Cody Glenn,26,25,51,5,0,,,,,4,,,,1
6,Ty Steinkuhler,21,27,48,6,2.5,,,,,,,,,1
7,Zach Potter,14,32,46,11.5,5.5,2,11,5.5,0,,,,,
8,Armando Murillo,35,9,44,1.5,0,1,57,57,0,,,,,
9,Eric Hagg,29,10,39,4.5,1,,,,,7,1,3,0,1
10,Phillip Dillard,13,25,38,1.5,0.5,,,,,1,,,,
11,Tyler Wortman,19,17,36,5,0,1,8,8,0,,,,,
12,Prince Amukamara,21,13,34,2,1,,,,,2,,,,2
13,Anthony West,23,6,29,1,1,2,26,13,0,,,,,
14,Rickey Thenarse,17,7,24,5,2,1,0,0,0,,,,,
15,Lance Thorell,15,9,24,0,0,,,,,1,,,,
16,Blake Lawrence,8,13,21,0,0,1,0,0,0,,,,,
17,Colton Koehler,7,9,16,1,0,,,,,,,,,
18,Clayton Sievers,9,5,14,2.5,1,,,,,,,,,1
19,Matt Holt,11,3,14,0,0,,,,,,,,,
20,Major Culbert,4,6,10,0,0,,,,,,,,,
21,Shukree Barfield,7,3,10,3,3,,,,,,,,,
22,Wes Cammack,8,1,9,0,0,,,,,,,,,
23,Terrence Moore,3,5,8,2,2,,,,,,,,,
24,Niles Paul,5,3,8,0,0,,,,,,,,,
25,Mathew May,5,1,6,1,1,,,,,,,,,1
26,Mason Wald,4,2,6,0,0,,,,,,,,,
27,Dennard,4,1,5,0,0,,,,,,,,,
28,Hunter Teafatiller,4,1,5,0,0,,,,,,,,,
29,Barry Turner,1,2,3,1.5,1,,,,,,,,,
30,Mike Hays,2,1,3,0,0,,,,,,,,,
31,Quentin Castille,1,2,3,0,0,,,,,,,,,
32,Todd Peterson,3,0,3,0,0,,,,,,,,,
33,Jared Crick,1,1,2,0,0,,,,,1,,,,
34,Thomas Grove,1,1,2,0,0,,,,,,,,,
35,Ryan Hill,2,0,2,0,0,,,,,,,,,
36,Austin Cassidy,1,0,1,0,0,,,,,,,,,
37,Adi Kunalic,1,0,1,0,0,,,,,,,,,
38,Ben Martin,0,1,1,0,0,,,,,,,,,
39,Lydon Murtha,1,0,1,0,0,,,,,,,,,
40,T.J. O'Leary,1,0,1,0,0,,,,,,,,,
41,Mike Smith,1,0,1,0,0,,,,,,,,,
42,Keith Williams,1,0,1,0,0,,,,,,,,,
43,William Yancy,0,1,1,0,0,,,,,,,,,
44,Chris Brooks,1,0,1,0,0,,,,,,,,,
45,Joe Ganz,1,0,1,0,0,,,,,,,,,
46,Roy Helu Jr.,1,0,1,0,0,,,,,,,,,
47,Menelik Holt,0,1,1,0,0,,,,,,,,,
48,Marlon Lucky,0,1,1,0,0,,,,,,,,,
